2022-06-30 08:20:13 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-30 08:47:02 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-30 08:47:09 | 127.0.0.1 | POST | 200 - - | /api/messages 
2022-06-30 09:04:36 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:04:54 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:05:32 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:07:10 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:07:10 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:07:17 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:07:19 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:07:27 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:10:21 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:13:57 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-30 09:13:57 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-30 09:13:57 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-30 09:13:57 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-30 09:13:57 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-30 09:14:14 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-30 09:15:29 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:17:52 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:18:18 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:19:22 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:19:36 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:22:31 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:24:54 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:26:08 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:29:58 | 127.0.0.1 | GET | 400 - - | /intents/ReplyIntent 
2022-06-30 09:29:58 | 127.0.0.1 | GET | 404 - Cannot GET /favicon.ico | /favicon.ico 
2022-06-30 09:30:41 | 127.0.0.1 | POST | 400 - - | /intents/ReplyIntent 
2022-06-30 09:31:55 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:32:41 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:34:07 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:37:31 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:41:18 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:42:27 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:47:30 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:53:29 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:53:50 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:55:59 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 09:58:41 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:00:06 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:00:55 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:02:43 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:02:55 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:03:07 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:05:07 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:05:47 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:06:26 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:07:17 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:07:45 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:08:00 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:09:02 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:09:14 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:09:20 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:10:03 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:10:13 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:10:37 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:11:02 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:11:09 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:11:34 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:11:54 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:13:17 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:14:24 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:15:20 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:15:35 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:15:35 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:15:48 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:15:50 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:16:04 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:16:10 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:16:58 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:19:26 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:19:39 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:19:48 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:20:11 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:20:24 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:20:33 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:20:57 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:21:04 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:21:16 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:23:12 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:23:32 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:23:41 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:24:25 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:24:42 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:25:44 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:25:50 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:26:01 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:26:07 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:29:05 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:29:17 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:29:22 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:29:40 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:32:09 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:40:31 | 192.168.11.117 | GET | 200 - - | index.html 
2022-06-30 10:40:31 | 192.168.11.117 | GET | 200 - - | swagger-ui.css 
2022-06-30 10:40:31 | 192.168.11.117 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-30 10:40:31 | 192.168.11.117 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-30 10:40:31 | 192.168.11.117 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-30 10:40:32 | 192.168.11.117 | GET | 200 - - | favicon-32x32.png 
2022-06-30 10:40:32 | 192.168.11.117 | GET | 200 - - | doc.json 
2022-06-30 10:40:32 | 192.168.11.117 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-30 10:40:49 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:42:01 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:44:14 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:45:50 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:47:09 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:47:22 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:48:29 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:49:51 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:50:50 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:51:04 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:51:10 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:51:12 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:52:22 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:52:26 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:52:38 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:52:43 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:52:54 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:53:06 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:53:21 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:54:08 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:54:10 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:55:00 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:55:01 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:55:24 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
2022-06-30 10:55:37 | 127.0.0.1 | POST | 200 - - | /intents/ReplyIntent 
